,Site,SiteID,count,flow_media,segnum,reachID,k,i,j,iseg,ireach,geometry,reachid
44,Makaretu Stream at Pagetts Road_gaugings,45,18,46180.8,8171340,1088,0,70,2,136,3,POINT (1871597.3 5566692.5),1088
45,Makaretu Stream at Speedy Rd Bridge Gw8,46,7,62121.600000000006,8170570,1389,0,68,47,178,23,POINT (1894415.4 5567620.9),1389
46,Makaretu Stream at Speedy Rd Bridge Gw8_gaugings,47,7,62121.600000000006,8170570,1389,0,68,47,178,23,POINT (1894415.4 5567620.9),1389
47,Makaretu Stream at Speedy Rd Gw10,48,3,31622.4,8170570,1378,0,67,41,178,12,POINT (1891113.1 5568120.7),1378
48,Makaretu Stream at State Highway 50,49,21,58060.8,8171496,1333,0,73,26,175,3,POINT (1883620.7 5565236.7),1333
49,Makaretu Stream at State Highway 50_gaugings,50,21,58060.8,8171496,1333,0,73,26,175,3,POINT (1883620.7 5565236.7),1333
50,Makaretu Stream at Taniwha Deer Farm,51,3,51926.4,8170570,1385,0,68,45,178,19,POINT (1893114.5 5567620.7),1385
51,Makaretu Stream at Watsons Reach,52,2,51451.20000000001,8171738,1132,0,73,23,140,23,POINT (1882407.9 5565317.5),1132
52,Makaretu Stream at Watsons Reach_gaugings,53,2,51451.20000000001,8171738,1132,0,73,23,140,23,POINT (1882407.9 5565317.5),1132
53,Makaroro River at Burnt Bridge,54,32,150120.0,8164056,1246,0,29,24,159,4,POINT (1882803.5 5587131.5),1246
54,Makaroro River at Burnt Bridge_gaugings,55,32,150120.0,8164056,1246,0,29,24,159,4,POINT (1882803.5 5587131.5),1246
55,Mangamate Stream D/S Confl,56,4,4881.6,8162968,884,0,17,50,109,1,POINT (1895911 5593239.4),884
56,Mangamate Stream D/S Confl_gaugings,57,4,4881.6,8162968,884,0,17,50,109,1,POINT (1895911 5593239.4),884
57,Mangamate Stream at Downstream Of Weir,58,7,3430.0800000000004,8160060,38,0,10,48,7,10,POINT (1895009.4 5596441.5),38
58,Mangamate Stream at Downstream Of Weir_gaugings,59,7,3430.0800000000004,8160060,38,0,10,48,7,10,POINT (1895009.4 5596441.5),38
